DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	PPO domain count
Saitozyma_sp_JCM_24511	0
Hypsizygus_marmoreus	4
Colletotrichum_tofieldiae	3
Colletotrichum_incanum	3
Fibularhizoctonia_sp_CBS_109695	1
Calocera_viscosa	1
Sistotremastrum_niveocremeum	5
Daedalea_quercina	1
Sistotremastrum_suecicum	5
Exidia_glandulosa	3
Neolentinus_lepideus	1
Calocera_cornea	1
Peniophora_sp_CONT	2
Ophiocordyceps_polyrhachis-furcata	3
Saccharomyces_cerevisiae	0
Moelleriella_libera	0
Ascosphaera_apis	1
Beauveria_brongniartii	2
Sporothrix_insectorum	1
Nematocida_displodere	0
Nematocida_sp_ERTm5	0
Stagonospora_sp_SRC1lsM3a	2
Pyrenochaeta_sp_DS3sAY3a	3
Tilletia_caries	2
Tilletia_indica	3
Tilletia_controversa	4
Fonsecaea_multimorphosa	3
Trichophyton_violaceum	2
Akanthomyces_lecanii	1
Fusarium_agapanthi	2
Rhizopogon_vinicolor	4
Emergomyces_africanus	3
Pachysolen_tannophilus	0
Nadsonia_fulvescens	0
Lipomyces_starkeyi	0
Candida_arabinofermentans	0
Tortispora_caseinolytica	0
Pseudogymnoascus_sp_23342-1-I1	2
Pseudogymnoascus_sp_WSF_3629	2
Pseudogymnoascus_sp_24MN13	2
Pseudogymnoascus_sp_05NY08	2
Pseudogymnoascus_sp_03VT05	2
Hanseniaspora_valbyensis	0
Clavispora_lusitaniae	0
Beauveria_bassiana	3
Choanephora_cucurbitarum	0
Grifola_frondosa	2
Obba_rivulosa	1
Amanita_polypyramis	8
Amanita_inopinata	4
Amanita_brunnescens	5
Volvariella_volvacea	3
Lepidopterella_palustris	2
Cenococcum_geophilum	4
Glonium_stellatum	2
Aspergillus_hancockii	5
Cladophialophora_carrionii	3
Diaporthe_helianthi	3
Fusarium_pseudograminearum	2
Komagataella_phaffii	0
Komagataella_pastoris	0
Paracoccidioides_brasiliensis	3
Aspergillus_cristatus	4
Cryptococcus_depauperatus	0
Hanseniaspora_osmophila	0
Hanseniaspora_uvarum	0
Hanseniaspora_opuntiae	0
Yarrowia_lipolytica	0
Coniochaeta_ligniaria	1
Rhizopogon_vesiculosus	4
Blastomyces_percursus	3
Emergomyces_pasteurianus	3
Aspergillus_brasiliensis	2
Trametes_pubescens	1
Penicillium_subrubescens	2
Phlebia_centrifuga	1
Neolecta_irregularis	0
Colletotrichum_chlorophyti	3
Pichia_membranifaciens	0
Smittium_mucronatum	0
Zancudomyces_culisetae	0
Smittium_culicis	0
Diplodia_seriata	3
Cyberlindnera_fabianii	0
Zygosaccharomyces_parabailii	0
Aspergillus_carbonarius	2
fungal_sp_14919	1
Aspergillus_oryzae	5
Candida_boidinii	0
Trichoderma_guizhouense	1
Penicillium_decumbens	2
Penicillium_vulpinum	2
Penicillium_polonicum	2
Penicillium_antarcticum	3
Penicillium_flavigenum	2
Penicillium_steckii	2
Penicillium_coprophilum	2
Penicillium_nalgiovense	2
Rachicladosporium_antarcticum	2
Enterocytozoon_hepatopenaei	0
Rhizopus_microsporus	0
Hepatospora_eriocheir	0
Enterospora_canceri	0
Trametes_coccinea	1
Catenaria_anguillulae	0
Anaeromyces_robustus	0
Basidiobolus_meristosporus	0
Hesseltinella_vesiculosa	0
Piromyces_finnis	0
Rhizoclosmatium_globosum	0
Clohesyomyces_aquaticus	2
Leucosporidium_creatinivorum	1
Naematelia_encephala	0
Syncephalastrum_racemosum	0
Absidia_repens	0
Epicoccum_nigrum	2
Hypoxylon_sp_CO27-5	3
Daldinia_sp_EC12	2
Hypoxylon_sp_EC38	3
Piromyces_sp_E2	0
Marssonina_coronariae	1
Cryptococcus_neoformans	0
Aspergillus_turcosus	3
Elaphomyces_granulatus	2
Bifiguratus_adelaidae	0
Lomentospora_prolificans	2
Chlorociboria_aeruginascens	6
Dentipellis_sp_KUC8613	2
Pyrrhoderma_noxium	3
Armillaria_solidipes	4
Armillaria_gallica	3
Penicillium_sp_occitanis	1
Aspergillus_flavus	4
Amanita_thiersii	2
Emmonsia_crescens	4
Blastomyces_parvus	3
Helicocarpus_griseus	3
Polytolypa_hystricis	3
Cordyceps_sp_RAO-2017	1
Ophiocordyceps_camponoti-rufipedis	3
Ophiocordyceps_australis	1
Coemansia_reversa	0
Ganoderma_sinense	1
Scytalidium_lignicola	4
Malassezia_vespertilionis	0
Cercospora_zeina	2
Aspergillus_taichungensis	4
Hyaloscypha_hepaticicola	2
Hyaloscypha_variabilis	3
Puccinia_coronata	0
Verticillium_dahliae	1
Fusarium_nygamai	3
Sphaceloma_murrayae	0
Lachancea_quebecensis	0
Tolypocladium_capitatum	2
Tolypocladium_paradoxum	2
Erysiphe_pulchra	1
Puccinia_striiformis	0
Rhodotorula_taiwanensis	1
Cercospora_berteroae	2
Panaeolus_cyanescens	2
Psilocybe_cyanescens	4
Gymnopilus_dilepis	4
Rutstroemia_sp_NJR-2017a_WRK4	0
Rutstroemia_sp_NJR-2017a_BVV2	1
Rutstroemia_sp_NJR-2017a_BBW	1
Fusarium_beomiforme	3
Trichoderma_arundinaceum	2
Fusarium_longipes	2
Fusarium_sporotrichioides	2
Elsinoe_australis	0
Corynespora_cassiicola	3
Coniella_lustricola	0
Trichoderma_longibrachiatum	1
Tuber_borchii	3
Serendipita_vermifera	2
Periconia_macrospinosa	4
Cadophora_sp_DSE1049	4
Smittium_megazygosporum	0
Smittium_simulii	0
Smittium_angustum	0
Testicularia_cyperi	0
Violaceomyces_palustris	1
Pyrenophora_tritici-repentis	2
Tuber_magnatum	2
Aspergillus_sclerotiicarbonarius	2
Aspergillus_ellipticus	2
Aspergillus_indologenus	2
Aspergillus_violaceofuscus	2
Monilinia_fructigena	2
Stemphylium_lycopersici	3
Fusarium_proliferatum	2
Fusarium_verticillioides	2
Rhizopus_stolonifer	0
Rhizopus_azygosporus	0
Ophiocordyceps_camponoti-saundersi	3
Ophiocordyceps_camponoti-leonardi	3
