DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	PPO domain count
Auriculariales_sp_MPI-PUGE-AT-0066	3
Linnemannia_elongata	0
Paraphoma_chrysanthemicola	2
Microdochium_trichocladiopsis	1
Macrophomina_phaseolina	3
Fusarium_sp_MPI-SDFR-AT-0072	2
Dactylonectria_estremocensis	2
Fusarium_flagelliforme	2
Dendryphion_nanum	3
Dactylonectria_macrodidyma	2
Fusarium_redolens	2
Fusarium_solani	2
Fusarium_tricinctum	2
Stachybotrys_elegans	4
Rhexocercosporidium_sp_MPI-PUGE-AT-0058	3
Plectosphaerella_cucumerina	3
Pyrenochaeta_sp_MPI-SDFR-AT-0127	1
Phaeosphaeria_sp_MPI-PUGE-AT-0046c	2
Leotiomycetes_sp_MPI-SDFR-AT-0126	0
Sordaria_sp_MPI-SDFR-AT-0083	1
Clathrus_columnatus	4
Entomortierella_parvispora	0
Ceraceosorus_bombacis	2
Sporisorium_scitamineum	0
Phialocephala_subalpina	4
Lachancea_meyersii	0
Lachancea_dasiensis	0
Lachancea_sp_PJ-2012a	0
Lachancea_mirantina	0
Lachancea_fermentati	0
Rhynchosporium_commune	2
Rhynchosporium_secalis	2
Rhynchosporium_agropyri	2
Absidia_glauca	0
Ustilago_bromivora	0
Microbotryum_intermedium	1
Microbotryum_saponariae	0
Candida_intermedia	0
Hanseniaspora_guilliermondii	0
Microbotryum_silenes-dioicae	0
Armillaria_ostoyae	4
Zygosaccharomyces_bailii	0
Lasallia_pustulata	2
Kazachstania_saulgeensis	0
Pyrenophora_teres	2
Blumeria_hordei	2
Ustilago_sp_UG-2017b	0
Ustilago_sp_UG-2017a	0
Podospora_comata	2
Pseudozyma_flocculosa	2
Ustilago_trichophora	0
Thermothielavioides_terrestris	0
Peniophora_sp_CBMAI_1063	2
Brettanomyces_naardenensis	0
Clonostachys_byssicola	2
Clonostachys_rhizophaga	3
Clonostachys_rosea	2
Clonostachys_solani	2
Agrocybe_aegerita	1
Aureobasidium_vineae	1
Aureobasidium_mustum	2
Aureobasidium_uvarum	2
Sclerotinia_trifoliorum	2
Fusarium_equiseti	2
Ambispora_leptoticha	0
Dentiscutata_heterogama	0
Acaulospora_morrowiae	1
Cetraspora_pellucida	0
Ambispora_gerdemannii	0
Dentiscutata_erythropus	0
Funneliformis_mosseae	0
Diversispora_eburnea	0
Acaulospora_colombiana	2
Racocetra_fulgida	0
Claroideoglomus_candidum	0
Scutellospora_calospora	0
Paraglomus_brasilianum	0
Serendipita_indica	2
Hymenoscyphus_fraxineus	1
Hymenoscyphus_albidus	1
Aspergillus_clavatus	1
Schizophyllum_commune	0
Laccaria_bicolor	0
Gaeumannomyces_tritici	0
Colletotrichum_graminicola	0
Verticillium_alfalfae	2
Trichophyton_benhamiae	1
Fusarium_vanettenii	0
Trichophyton_verrucosum	1
Trichoderma_virens	1
Trichoderma_atroviride	1
Spizellomyces_punctatus	0
Coprinopsis_cinerea	1
Neurospora_crassa	0
Melampsora_larici-populina	0
Neurospora_tetrasperma	0
Zymoseptoria_tritici	2
Chaetomium_thermophilum	1
Thermothelomyces_thermophilus	1
Podospora_anserina	1
Stereum_hirsutum	2
Punctularia_strigosozonata	0
Auricularia_subglabra	1
Trametes_versicolor	1
Fomitiporia_mediterranea	0
Dacryopinax_primogenitus	0
Drepanopeziza_brunnea	0
Agaricus_bisporus	0
Phanerochaete_carnosa	0
Fibroporia_radiculosa	0
Sphaerulina_musiva	0
Heterobasidion_irregulare	1
Ustilago_maydis	0
Baudoinia_panamericana	0
Pseudocercospora_fijiensis	0
Gloeophyllum_trabeum	2
Cyphellophora_europaea	2
Neofusicoccum_parvum	2
Phaeoacremonium_minimum	1
Pseudozyma_hubeiensis	0
Dactylellina_haptotyla	0
Kalmanozyma_brasiliensis	0
Pestalotiopsis_fici	1
Colletotrichum_fioriniae	0
Cladophialophora_yegresii	1
Cladophialophora_psammophila	0
Exophiala_aquamarina	1
Aureobasidium_subglaciale	0
Aureobasidium_namibiae	0
Moesziomyces_antarcticus	0
Metarhizium_majus	1
Sporothrix_brasiliensis	0
Cladophialophora_bantiana	0
Cladophialophora_immunda	0
Exophiala_xenobiotica	1
Exophiala_oligosperma	0
Rhinocladiella_mackenziei	0
Exophiala_spinifera	0
Exophiala_mesophila	1
Verruconis_gallopava	0
Sporothrix_schenckii	0
Aspergillus_udagawae	1
Aspergillus_nomiae	1
Phialophora_attinorum	1
Rhodotorula_graminis	2
Trichoderma_gamsii	0
Mollisia_scopiformis	1
Xylona_heveae	1
Drechmeria_coniospora	1
Laetiporus_sulphureus	0
Cordyceps_fumosorosea	1
Paraphaeosphaeria_sporulosa	0
Alternaria_alternata	0
Fonsecaea_monophora	0
Fonsecaea_nubica	0
Fonsecaea_erecta	1
Purpureocillium_lilacinum	1
Saitoella_complicata	0
Penicillium_arizonense	1
Aspergillus_bombycis	1
Colletotrichum_orchidophilum	0
Diplodia_corticola	3
Aspergillus_versicolor	1
Aspergillus_sydowii	2
Aspergillus_wentii	1
Aspergillus_aculeatus	1
Talaromyces_atroroseus	0
Pseudomassariella_vexata	2
Cercospora_beticola	0
Hyaloscypha_bicolor	0
Amorphotheca_resinae	1
Trichoderma_citrinoviride	1
Tilletiopsis_washingtonensis	0
Acaromyces_ingoldii	0
Aspergillus_sclerotioniger	1
Aspergillus_heteromorphus	1
Aspergillus_saccharolyticus	1
Aspergillus_brunneoviolaceus	1
Aspergillus_uvarum	2
Aspergillus_aculeatinus	1
Aspergillus_japonicus	1
Aspergillus_fijiensis	1
Aspergillus_ibericus	1
Aspergillus_homomorphus	1
Fusarium_coffeatum	0
Aspergillus_mulundensis	1
Aspergillus_tanneri	1
Verticillium_nonalfalfae	1
Sparassis_crispa	1
Alternaria_arborescens	0
Phialemoniopsis_curvata	0
Sporisorium_graminicola	0
Synchytrium_microbalum	0
Daldinia_childiae	1
Aspergillus_alliaceus	1
Aspergillus_pseudotamarii	1
Aspergillus_caelatus	2
Aspergillus_pseudonomiae	2
Colletotrichum_fructicola	1
Cucurbitaria_berberidis	0
Neohortaea_acidophila	0
Lindgomyces_ingoldianus	0
Mytilinidion_resinicola	0
Macroventuria_anomochaeta	1
Pseudovirgaria_hyperparasitica	1
Zasmidium_cellare	1
Trematosphaeria_pertusa	0
Aspergillus_lentulus	1
Colletotrichum_scovillei	0
Cryphonectria_parasitica	1
Colletotrichum_karsti	1
Geosmithia_morbida	1
Lasiodiplodia_theobromae	3
Alternaria_burnsii	0
Colletotrichum_aenigma	1
Colletotrichum_siamense	1
Fusarium_subglutinans	0
Fusarium_tjaetaba	0
Letharia_columbiana	0
Letharia_lupina	0
Mycena_indigotica	0
Diaporthe_citri	1
Cantharellus_anzutake	2
Suillus_paluster	0
Suillus_subalutaceus	0
Suillus_subaureus	1
Suillus_plorans	0
Suillus_fuscotomentosus	0
Suillus_discolor	0
Suillus_clintonianus	0
Suillus_bovinus	0
Aspergillus_puulaauensis	1
Rhizoctonia_solani	0
Aspergillus_pseudoviridinutans	1
Aspergillus_viridinutans	1
Marasmius_oreades	0
Guyanagaster_necrorhizus	0
Diaporthe_batatas	1
Bacidia_gigantensis	0
Fusarium_poae	0
Cercospora_kikuchii	0
Fusarium_musae	0
Hirsutella_rhossiliensis	2
Fusarium_venenatum	0
Fusarium_mangiferae	0
Ustilago_hordei	0
Alternaria_atra	0
Kluyveromyces_lactis	0
Candida_glabrata	0
Schizosaccharomyces_pombe	0
Talaromyces_stipitatus	0
Uncinocarpus_reesii	0
Blastomyces_gilchristii	0
Schizosaccharomyces_cryophilus	0
Zygosaccharomyces_rouxii	0
Candida_dubliniensis	0
Eremothecium_gossypii	0
Lachancea_thermotolerans	0
Grosmannia_clavigera	0
Botrytis_cinerea	0
Encephalitozoon_intestinalis	0
Sclerotinia_sclerotiorum	0
Aspergillus_nidulans	3
Meyerozyma_guilliermondii	0
Lodderomyces_elongisporus	0
Schizosaccharomyces_japonicus	0
Vanderwaltozyma_polyspora	0
Schizosaccharomyces_octosporus	0
Paracoccidioides_lutzii	0
Nannizzia_gypsea	0
Microsporum_canis	0
Coccidioides_posadasii	0
Trichoderma_reesei	0
Malassezia_globosa	0
Candida_parapsilosis	0
Vavraia_culicis	0
Batrachochytrium_dendrobatidis	0
Enterocytozoon_bieneusi	0
Yamadazyma_tenuis	0
Spathaspora_passalidarum	0
Naumovozyma_dairenensis	0
Exophiala_dermatitidis	0
Vittaforma_corneae	0
Eremothecium_cymbalariae	0
Tetrapisispora_phaffii	0
Torulaspora_delbrueckii	0
Nematocida_parisii	0
Coniophora_puteana	0
Encephalitozoon_romaleae	0
Coniosporium_apollinis	0
Trichosporon_asahii	0
Kazachstania_africana	0
Wickerhamomyces_ciferrii	0
Candida_orthopsilosis	0
Tetrapisispora_blattae	0
Kazachstania_naganishii	0
Pneumocystis_murina	0
Malassezia_sympodialis	0
Eutypa_lata	0
Exserohilum_turcicum	0
Kwoniella_dejecticola	0
Kwoniella_bestiolae	0
Kwoniella_pini	0
Bipolaris_zeicola	0
Bipolaris_oryzae	0
Bipolaris_victoriae	0
Kuraishia_capsulata	0
Capronia_epimyces	0
Capronia_coronata	0
Aspergillus_ruber	0
Ustilaginoidea_virens	0
Mixia_osmundae	0
Tilletiaria_anomala	0
Scedosporium_apiospermum	0
Mitosporidium_daphniae	0
Penicillium_expansum	0
Metarhizium_album	0
Lachancea_lanzarotensis	0
Rasamsonia_emersonii	0
Nosema_ceranae	0
Cutaneotrichosporon_oleaginosum	0
Malassezia_pachydermatis	0
Saccharomyces_eubayanus	0
Debaryomyces_fabryi	0
Pneumocystis_carinii	0
Penicillium_griseofulvum	0
Phycomyces_blakesleeanus	0
Sugiyamaella_lignohabitans	0
Pseudogymnoascus_destructans	0
Pochonia_chlamydosporia	0
Wickerhamomyces_anomalus	0
Babjeviella_inositovora	0
Ascoidea_rubescens	0
Hyphopichia_burtonii	0
Suhomyces_tanzawaensis	0
Pseudogymnoascus_verrucosus	0
Ogataea_polymorpha	0
Cryptococcus_wingfieldii	0
Cryptococcus_amylolentus	0
Penicilliopsis_zonata	0
Aspergillus_glaucus	0
Talaromyces_amestolkiae	0
Penicillium_solitum	0
Saccharomyces_paradoxus	0
Kockovaella_imperatae	0
Linderina_pennispora	0
Protomyces_lactucae-debilis	0
Lobosporangium_transversale	0
Aspergillus_thermomutatus	0
Wickerhamiella_sorbophila	0
Candida_auris	0
Aspergillus_candidus	0
Aspergillus_novofumigatus	0
Aspergillus_campestris	0
Aspergillus_steynii	0
Candida_haemuloni	0
Candida_duobushaemulonis	0
Candida_pseudohaemulonii	0
Pichia_kudriavzevii	0
Pseudomicrostroma_glucosiphilum	0
Ceraceosorus_guamensis	0
Meira_miltonrushii	0
Jaminaea_rosea	0
Aspergillus_eucalypticola	0
Aspergillus_neoniger	0
Aspergillus_piperis	0
Aspergillus_costaricensis	0
Aspergillus_vadensis	0
Malassezia_restricta	0
Candida_viswanathii	0
Aspergillus_welwitschiae	0
Venustampulla_echinocandica	0
Sodiomyces_alkalinus	0
Apiotrichum_porosum	0
Ascochyta_rabiei	0
Paecilomyces_variotii	0
Pyricularia_pennisetigena	0
Pyricularia_grisea	0
Lachnellula_hyalina	0
Kwoniella_shandongensis	0
Diutina_rugosa	0
Dissoconium_aciculare	0
Eremomyces_bilateralis	0
Aaosphaeria_arxii	0
Aplosporella_prunicola	0
Westerdykella_ornata	0
Didymella_exigua	0
Brettanomyces_nanus	0
Brettanomyces_bruxellensis	0
Arthroderma_uncinatum	0
Aspergillus_tubingensis	0
Talaromyces_rugulosus	0
Zygotorulaspora_mrakii	0
Botrytis_fragariae	0
Torulaspora_globosa	0
Colletotrichum_truncatum	0
Pleurotus_ostreatus	0
Botrytis_byssoidea	0
Botrytis_sinoallii	0
Botrytis_porri	0
Botrytis_deweyae	0
Penicillium_roqueforti	0
Aspergillus_luchuensis	0
Aspergillus_chevalieri	0
Scheffersomyces_spartinae	0
Ogataea_haglerorum	0
Ogataea_angusta	0
Morchella_sextelata	0
Ramularia_collo-cygni	0
Saprochaete_ingens	0
Kazachstania_barnettii	0
