ID	Kingdom	Phylum	Fungal_Class	Order	Family	Genus
Dactylellina_cionopaga	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Dactylellina
Dactylellina_haptotyla	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Dactylellina
Dactylonectria_estremocensis	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria
Dactylonectria_macrodidyma	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria
Daedalea_quercina	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Daedalea
Daldinia_childiae	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Daldinia
Daldinia_sp_EC12	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Daldinia
Debaryomyces_fabryi	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces
Debaryomyces_hansenii	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces
Decorospora_gaudefroyi	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Decorospora
Delitschia_confertaspora	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Delitschiaceae	Delitschia
Delphinella_strobiligena	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Delphinella
Dendrothele_bispora	Fungi	Basidiomycota	Agaricomycetes	Agaricales		Dendrothele
Dendryphion_nanum	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Dendryphion
Dentipellis_fragilis	Fungi	Basidiomycota	Agaricomycetes	Russulales	Hericiaceae	Dentipellis
Dentipellis_sp_KUC8613	Fungi	Basidiomycota	Agaricomycetes	Russulales	Hericiaceae	Dentipellis
Dentiscutata_erythropus	Fungi	Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Dentiscutata
Dentiscutata_heterogama	Fungi	Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Dentiscutata
Diaporthe_ampelina	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe
Diaporthe_batatas	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe
Diaporthe_citri	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe
Diaporthe_helianthi	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe
Dichomitus_squalens	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Dichomitus
Dictyocoela_muelleri	Fungi	Microsporidia				Dictyocoela
Dictyocoela_roeselum	Fungi	Microsporidia				Dictyocoela
Didymella_exigua	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella
Didymella_heteroderae	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella
Didymella_keratinophila	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella
Didymosphaeria_enalia	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Didymosphaeria
Diplodia_corticola	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia
Diplodia_seriata	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia
Dissoconium_aciculare	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Dissoconiaceae	Dissoconium
Dissophora_globulifera	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Dissophora
Dissophora_ornata	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Dissophora
Diutina_rugosa	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales		Diutina
Diversispora_eburnea	Fungi	Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora
Diversispora_epigaea	Fungi	Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora
Dothidotthia_symphoricarpi	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dothidotthiaceae	Dothidotthia
Dothistroma_septosporum	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Dothistroma
Drechmeria_coniospora	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Drechmeria
Drechslerella_brochopaga	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Drechslerella
Drechslerella_stenobrocha	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Drechslerella
Drepanopeziza_brunnea	Fungi	Ascomycota	Leotiomycetes	Helotiales	Drepanopezizaceae	Drepanopeziza
Edhazardia_aedis	Fungi	Microsporidia			Culicosporidae	Edhazardia
Elaphomyces_granulatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Elaphomycetaceae	Elaphomyces
Elsinoe_ampelina	Fungi	Ascomycota	Dothideomycetes	Myriangiales	Elsinoaceae	Elsinoe
Elsinoe_australis	Fungi	Ascomycota	Dothideomycetes	Myriangiales	Elsinoaceae	Elsinoe
Elsinoe_batatas	Fungi	Ascomycota	Dothideomycetes	Myriangiales	Elsinoaceae	Elsinoe
Elsinoe_fawcettii	Fungi	Ascomycota	Dothideomycetes	Myriangiales	Elsinoaceae	Elsinoe
Emergomyces_africanus	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Emergomyces
